_dedupe_key,_endpoint,_member,_query_label,_collected_at,_comment_id,_video_id,_channel_id,comment_published_at,comment_author,comment_like_count,comment_text,_source_file,_parent_comment_id,comment_author_channel_id
commentThreads.list|UgywQ-WYJZYdI0Im0DV4AaABAg|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||UgywQ-WYJZYdI0Im0DV4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,UgywQ-WYJZYdI0Im0DV4AaABAg,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2019-03-12T22:23:01Z,@fxchsiia8354,1324.0,I hate getting them in the top of my lip. Those. Hurt.,youtube_comments_raw_member234.csv,,
commentThreads.list|Ugz4gvth6JHPaWxULqd4AaABAg|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||Ugz4gvth6JHPaWxULqd4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,Ugz4gvth6JHPaWxULqd4AaABAg,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2019-10-23T03:07:36Z,@abbyflows1332,2090.0,That extractor sucks she should’ve used the little circle one,youtube_comments_raw_member234.csv,,
commentThreads.list|UgwqSeWUAvG58Uviqzp4AaABAg|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||UgwqSeWUAvG58Uviqzp4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,UgwqSeWUAvG58Uviqzp4AaABAg,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2022-10-08T15:56:04Z,@ChipmunkMilk1206,186.0,Never underestimate the power of a warm compress for 10 minutes before popping.,youtube_comments_raw_member234.csv,,
commentThreads.list|UgxgDZ0J5n1hJnUSM2Z4AaABAg|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||UgxgDZ0J5n1hJnUSM2Z4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,UgxgDZ0J5n1hJnUSM2Z4AaABAg,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2019-06-11T12:54:56Z,@Nicola2949,299.0,He's a sweet boy. I hope his skin is better x,youtube_comments_raw_member234.csv,,
commentThreads.list|Ugi4qAaq9E7XBXgCoAEC|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||Ugi4qAaq9E7XBXgCoAEC|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,Ugi4qAaq9E7XBXgCoAEC,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2017-04-29T14:32:11Z,@hannahs4929,4902.0,How adorable is this kid?!??,youtube_comments_raw_member234.csv,,
commentThreads.list|Ugw7LvdgXCacVePHXRN4AaABAg|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||Ugw7LvdgXCacVePHXRN4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,Ugw7LvdgXCacVePHXRN4AaABAg,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2019-02-17T07:11:10Z,@vanessaestrada2025,637.0,"his lashes are so beautiful , why are most men blessed with lashes so long 🥺",youtube_comments_raw_member234.csv,,
commentThreads.list|UgxPBSf7sMTfRLy1oNZ4AaABAg|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||UgxPBSf7sMTfRLy1oNZ4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,UgxPBSf7sMTfRLy1oNZ4AaABAg,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2023-06-27T19:41:06Z,@ZoeBellCake,9.0,"I've had this done once in my life and it was so painful, this kid is a saint.",youtube_comments_raw_member234.csv,,
commentThreads.list|UgxJOA1czJGNv_-lf0F4AaABAg|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||UgxJOA1czJGNv_-lf0F4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,UgxJOA1czJGNv_-lf0F4AaABAg,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2018-11-21T14:34:41Z,@susanstill3189,3783.0,Does anyone else hate this tool as much as I do??,youtube_comments_raw_member234.csv,,
commentThreads.list|UgxRN0IK5vmw1T02XwV4AaABAg|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||UgxRN0IK5vmw1T02XwV4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,UgxRN0IK5vmw1T02XwV4AaABAg,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2019-07-30T22:19:52Z,@mariamikula2256,2349.0,I am a firm believer that it works better by sqweezing.,youtube_comments_raw_member234.csv,,
commentThreads.list|UghgPnD-gqQqyXgCoAEC|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||UghgPnD-gqQqyXgCoAEC|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,UghgPnD-gqQqyXgCoAEC,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2017-04-09T20:44:08Z,@Itchybugbite,1646.0,"My mom walked in on me watching this and said ""that better not be porn""",youtube_comments_raw_member234.csv,,
commentThreads.list|UgyZ_fW0-co48zaLRuF4AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||UgyZ_fW0-co48zaLRuF4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,UgyZ_fW0-co48zaLRuF4AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2025-12-30T20:21:47Z,@CowsLife,51.0,How does this video have 10m views and 1.2k likes?,youtube_comments_raw_member234.csv,,
commentThreads.list|UgziGhBXdnTsqcGuOPB4AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||UgziGhBXdnTsqcGuOPB4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,UgziGhBXdnTsqcGuOPB4AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2025-12-05T17:07:13Z,@LEdwards-c1j,18.0,Way to go Hyram!! You got this!!,youtube_comments_raw_member234.csv,,
commentThreads.list|Ugz7PJUwiyu12yHpO794AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||Ugz7PJUwiyu12yHpO794AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,Ugz7PJUwiyu12yHpO794AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2025-12-05T18:40:03Z,@rayeofsunshine83,69.0,I quit smoking cigarettes cold turkey 9/12/24. It honestly wasn’t as bad as I thought it would be. I think I was just ready to not smoke anymore. Some days it sucks and some days it’s okay. The hardest part is finding new habits to replace the bad one. Good luck!,youtube_comments_raw_member234.csv,,
commentThreads.list|UgybB0EqGZ6L5DBl4m54AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||UgybB0EqGZ6L5DBl4m54AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,UgybB0EqGZ6L5DBl4m54AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2026-02-10T16:20:09Z,@chocov1233,1.0,Saw this as an ad and I recognized you. I wish you luck.,youtube_comments_raw_member234.csv,,
commentThreads.list|UgyVvNoRAZdTTrFCLPh4AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||UgyVvNoRAZdTTrFCLPh4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,UgyVvNoRAZdTTrFCLPh4AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2025-12-06T04:28:30Z,@christineshen8358,4.0,im so proud of you and anyone that is going through a similar journey. <3,youtube_comments_raw_member234.csv,,
commentThreads.list|UgwLTgM2CiXXX0p-Xn14AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||UgwLTgM2CiXXX0p-Xn14AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,UgwLTgM2CiXXX0p-Xn14AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2025-12-05T17:12:58Z,@katiemiller6594,11.0,"this is amazing!! of course this isn't the most important reason, but girl your skin is gonna be SO relieved that you're quitting, since nicotine can negatively affect it. so so proud!!!",youtube_comments_raw_member234.csv,,
commentThreads.list|UgwgkMSLhAMIBCxzBWZ4AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||UgwgkMSLhAMIBCxzBWZ4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,UgwgkMSLhAMIBCxzBWZ4AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2025-12-05T18:49:02Z,@Seng-Mira,2.0,"Congratulations. 
That's great for you love.
We're so proud of you",youtube_comments_raw_member234.csv,,
commentThreads.list|Ugx-V9uzA-ZEOI-ALZJ4AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||Ugx-V9uzA-ZEOI-ALZJ4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,Ugx-V9uzA-ZEOI-ALZJ4AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2025-12-05T17:35:42Z,@jamiekowatch278,6.0,"Hot damn, congratulations!! I love how the deeper mental work has been so supportive of you and your ability to make such a huge change! 
Congratulations!",youtube_comments_raw_member234.csv,,
commentThreads.list|UgwXXztsvMfA0xoJ7GF4AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||UgwXXztsvMfA0xoJ7GF4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,UgwXXztsvMfA0xoJ7GF4AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2025-12-08T03:48:07Z,@meghanwhitecar5078,4.0,this is SO IMPRESSIVE!! i know im just a stranger but seeing you share your story and how big of an impact it has had on you is so inspiring! way to go on taking your health seriously and keep going! we are all so proud of you!!!!!,youtube_comments_raw_member234.csv,,
commentThreads.list|UgwshC6L5uZq5i3zAa94AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||UgwshC6L5uZq5i3zAa94AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,UgwshC6L5uZq5i3zAa94AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2025-12-05T20:03:32Z,@jesshopes3853,2.0,I missed you 🥲🥲but congratulations Hyram,youtube_comments_raw_member234.csv,,
commentThreads.list|UgxkQcsUn2-nkb-wl4F4AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||UgxkQcsUn2-nkb-wl4F4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,UgxkQcsUn2-nkb-wl4F4AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2025-12-06T03:20:48Z,@kblive1414,1.0,Great mental power Hyram! Good for you working through this and honoring your body.,youtube_comments_raw_member234.csv,,
commentThreads.list|UgxPoth3JqLWC1GQpVR4AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||UgxPoth3JqLWC1GQpVR4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,UgxPoth3JqLWC1GQpVR4AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2025-12-22T07:55:46Z,@ZaftigHer,0.0,Congratulations Hyram. It’s hard to be vulnerable like this but I’m proud of you!,youtube_comments_raw_member234.csv,,
commentThreads.list|UgzD2_bEQsf-NxGSc9R4AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||UgzD2_bEQsf-NxGSc9R4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,UgzD2_bEQsf-NxGSc9R4AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2025-12-05T17:52:04Z,@rachelsmalleyy,4.0,Love this!!! Congrats! Hoping this helps me🩵,youtube_comments_raw_member234.csv,,
commentThreads.list|UgyqrBhLG7R_ebdercx4AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||UgyqrBhLG7R_ebdercx4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,UgyqrBhLG7R_ebdercx4AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2025-12-05T23:11:37Z,@denisefigueroa7761,2.0,"I’m so happy for you, Hyram! 💙 You definitely deserve this. :)",youtube_comments_raw_member234.csv,,
commentThreads.list|UgzKWW16ope-1kUdACJ4AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||UgzKWW16ope-1kUdACJ4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,UgzKWW16ope-1kUdACJ4AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2025-12-05T17:29:32Z,@jenniferoslowski6181,4.0,Me too and my anxiety is rough but i know its worth it,youtube_comments_raw_member234.csv,,
commentThreads.list|UgyYbtIMN77fWz3es054AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||UgyYbtIMN77fWz3es054AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,UgyYbtIMN77fWz3es054AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2025-12-06T15:53:58Z,@meredithhatfield7969,0.0,I’ve never been so proud of a stranger! As one of your 0.1% of viewers I’m so proud of you! Love always! 🫶🏼🫶🏼🫶🏼🫶🏼,youtube_comments_raw_member234.csv,,
commentThreads.list|UgweCDeLsokLUZhUu1d4AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||UgweCDeLsokLUZhUu1d4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,UgweCDeLsokLUZhUu1d4AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2026-02-14T14:53:11Z,@supercholita2472,0.0,"You are so strong and the best, love you",youtube_comments_raw_member234.csv,,
commentThreads.list|UgxQDM8BfhjdJlxci7J4AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||UgxQDM8BfhjdJlxci7J4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,UgxQDM8BfhjdJlxci7J4AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2026-01-31T07:30:52Z,@lucielmx7316,0.0,"Hyram, seeing you give up an addiction hit home and made me feel seen as i battle one myself.

as i write this, i have decided to quit offically as i fought for so long going back and forward. thank you for inspiring me.",youtube_comments_raw_member234.csv,,
commentThreads.list|UgxDugzJw5KkUgB5Rjl4AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||UgxDugzJw5KkUgB5Rjl4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,UgxDugzJw5KkUgB5Rjl4AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2025-12-05T17:12:39Z,@traceycrawford9938,4.0,"Fantastic Hyram, I knew you could do this!   ❤️❤️❤️🇦🇺🇬🇧",youtube_comments_raw_member234.csv,,
commentThreads.list|UgyYGJycCWWkiZwvekt4AaABAg|UC2sYit3cZ2CuD_8FHYH7O_Q|sdiILa5zna4||UgyYGJycCWWkiZwvekt4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:42.129807+00:00,UgyYGJycCWWkiZwvekt4AaABAg,sdiILa5zna4,UC2sYit3cZ2CuD_8FHYH7O_Q,2025-12-06T03:12:20Z,@amsrose1,2.0,Thanks for sharing your journey; I’m sure it will help many people who are dealing with similar situations. Keep going… you got this. And be kind to yourself!!!,youtube_comments_raw_member234.csv,,
commentThreads.list|Ugw09Me9LDatR-BYIcd4AaABAg|UCViR3aeehZPMnx9w49DhJPw|2gRuaywnqSc||Ugw09Me9LDatR-BYIcd4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:43.270577+00:00,Ugw09Me9LDatR-BYIcd4AaABAg,2gRuaywnqSc,UCViR3aeehZPMnx9w49DhJPw,2021-02-02T21:58:03Z,@rolleenbodeis4787,608.0,Who is here for the lip pimples?,youtube_comments_raw_member234.csv,,
commentThreads.list|UgzgURBWsyeCXcO6R3t4AaABAg|UCViR3aeehZPMnx9w49DhJPw|2gRuaywnqSc||UgzgURBWsyeCXcO6R3t4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:43.270577+00:00,UgzgURBWsyeCXcO6R3t4AaABAg,2gRuaywnqSc,UCViR3aeehZPMnx9w49DhJPw,2021-02-11T06:11:27Z,@Casis-wk9nr,610.0,Am I the only one who goes crazy when the hole is not completely finished?,youtube_comments_raw_member234.csv,,
commentThreads.list|UgzLm88cINpAiTFxzK94AaABAg|UCViR3aeehZPMnx9w49DhJPw|2gRuaywnqSc||UgzLm88cINpAiTFxzK94AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:43.270577+00:00,UgzLm88cINpAiTFxzK94AaABAg,2gRuaywnqSc,UCViR3aeehZPMnx9w49DhJPw,2021-02-02T21:58:17Z,@rebeccakramp2020,1026.0,I’ve never understood how someone with so many blackheads doesn’t pop them? I’d have so much fun getting all of them! Especially the lip ones!,youtube_comments_raw_member234.csv,,
